sample,r,s,t,u,v,w,moisture(g)
159,260.76,32.7,91.33,53.08,36.01,22.45,7.84
160,690.05,71.53,99.13,62.35,58.63,35.92,8.35
161,802.78,79.7,110.84,66.57,61.14,33.67,6.7
162,480.53,68.46,86.64,52.24,43.55,25.82,8.57
163,1159.19,108.31,95.23,65.72,74.54,43.78,9.65
164,432.7,40.87,104.6,63.2,51.93,30.31,10.22
165,610.34,59.27,106.94,59.82,46.9,26.94,10.16
166,457.76,38.83,100.69,55.61,41.04,24.69,8.08
167,337.05,40.87,102.25,53.08,34.34,17.96,6.33
168,594.4,59.27,96.79,52.24,41.04,23.57,-133.18
169,299.48,33.72,99.91,55.61,34.34,20.2,8.42
170,773.17,64.38,104.6,58.14,51.09,30.31,10.2
171,546.57,62.33,100.69,55.61,45.23,24.69,11.57
